TF,target,score
SHOX,CCDC142,0.8417443783155052
SCD5,TRIM4,0.8394475847118331
SCD5,GBP4,0.8392445621296941
SHOX,SLC14A2,0.8381491799635472
SHOX,CACNG8,0.8380640519723642
SHOX,CCL5,0.8371364529526243
SP100,MAB21L3,0.8369119427420474
SP100,ZNF471,0.8358884314619188
SHOX,PDDC1,0.8355455861958426
SHOX,LOC646851,0.8352689726405963
SHOX,SLC7A14,0.8349018593741048
SCD5,FGF5,0.8342848602378231
SCD5,ABCA9,0.8339258306192887
SP100,POTEM,0.8338175685769122
SHOX,EXOC3L2,0.8336917939219914
SP100,TIGD1,0.833545584814556
SHOX,MR1,0.8315311043055005
SHOX,PXMP4,0.8310766722939923
SHOX,ORAI2,0.8291252443751764
SHOX,SLC24A4,0.8289562484174319
SHOX,PDE4C,0.8288368015467883
SP100,ALPK1,0.8288134741670551
SCD5,ALPK1,0.8274250259893207
SP100,SAA2,0.8273992498392053
SHOX,CLEC7A,0.8223803230449724
CRX,SPN,0.8220531345709434
SHOX,LRRC27,0.8219144281377324
SHOX,CCL22,0.8216356648199976
SHOX,KCNA7,0.8200086459277017
SHOX,ZNF716,0.8173634905325808
SP100,C1orf49,0.817243350327344
SCD5,CLEC4E,0.8163576000904637
SHOX,KREMEN1,0.8142852447699352
SHOX,CRX,0.8134092661225861
CRX,SHOX,0.813409266122586
CRX,IL12RB1,0.8112866548102879
SCD5,LOC100130451,0.8111844114087311
SHOX,CYP4V2,0.8102124610712934
SCD5,SAA2,0.809933565809358
SP100,ABCA9,0.8094960708073083
SHOX,ATCAY,0.8090867744696227
SCD5,GSG1,0.8090862828920975
CRX,ARGFX,0.8088931342845818
SHOX,DAND5,0.8085363096613064
SP100,LOC100130451,0.8067169367727431
CRX,TLCD2,0.8065358108688204
SHOX,CLEC19A,0.8051375784193826
SHOX,GPR82,0.8039424871118139
SP100,MCTP2,0.8035241434051557
SHOX,KIAA1324,0.8033796198654181
SCD5,C1orf49,0.8032635403382723
CRX,CCL5,0.8027332069659981
SHOX,PRRG4,0.8017817405496683
SCD5,TIGD1,0.8017584023609582
SHOX,KIAA1751,0.8006818728445912
SHOX,SLC25A34,0.8005781038897304
SHOX,POLH,0.7999192632311278
SHOX,LOC100506688,0.7989022559806491
SP100,L2HGDH,0.7972765416205244
CRX,PDE6A,0.7971996198376073
SP100,TECRL,0.7966893420789932
SCD5,L2HGDH,0.796518356130308
SHOX,FAM115C,0.7951813778378872
SHOX,VSIG1,0.7949901140271389
SCD5,OPHN1,0.7949774069677068
SP100,GSG1,0.7948277439361843
IRF1,ARGFX,0.7942569132118963
NFKBIA,RHOBTB3,0.794086607083189
SHOX,FCAR,0.7937720623130365
SCD5,C3orf72,0.7935396281505737
CRX,CABP4,0.7927577561583504
SHOX,MLANA,0.7925002713027741
SHOX,FUT2,0.7924894853547289
SP100,XRCC2,0.7918972930742998
IRF1,SPN,0.7915164004065276
SHOX,CXorf36,0.7914406664989901
SHOX,GGT6,0.7911375874815694
CRX,CD84,0.7904886779710529
CRX,SIGLEC10,0.7904182166298925
POU2AF1,RHOBTB3,0.7895958253434038
SHOX,OR7D2,0.7894361957083257
CRX,CYP1A2,0.7889723370824576
SP100,C3orf72,0.7872091966629144
CRX,CCDC142,0.7871467275600359
SHOX,KBTBD12,0.7870037674158887
SHOX,BHMT2,0.7864041324359755
SHOX,LYZ,0.7857165207137677
CRX,C21orf62,0.7853544483079228
SHOX,NWD1,0.785015183179262
SHOX,ZNF785,0.7848957311628567
CRX,CPM,0.7848188334039501
SHOX,FUT6,0.7846065512029772
SHOX,RAB42,0.7845142258505149
SP100,ACBD7,0.7843325014837035
SHOX,KLRD1,0.7839146276631027
SHOX,TRIM66,0.7838490657240212
SHOX,ZNF793,0.7837447640882932
SHOX,NOS1,0.7832441917288122
SCD5,MCTP2,0.7832376675502678
SHOX,ZYG11A,0.7831886531725607
NFKBIA,COL5A2,0.782784117782007
SCD5,ABCC9,0.7825605377895657
SCD5,FAM115C,0.7822310887725661
IRF1,TLCD2,0.782095292316416
SHOX,RAX2,0.7819973359463929
CRX,PDDC1,0.781529045843918
SHOX,HTR3B,0.7812767202775803
POU2AF1,APOL6,0.780713621083421
IRF1,SHOX,0.7806249820095057
SHOX,IRF1,0.7806249820095056
CRX,C8orf80,0.7800961964548254
SHOX,TMPRSS11B,0.7790826704401508
SHOX,TMEM213,0.7787757833066385
SHOX,MEFV,0.7787622125711698
SCD5,TECRL,0.7780741217144311
SP100,FAM115C,0.7779622046919529
SHOX,ARL11,0.7774091636940853
SHOX2,RHOBTB3,0.7771465806351919
CRX,C1orf130,0.7770984087152749
IRF1,CCDC142,0.7768127564510662
CRX,TMEM236,0.7768013007321444
SHOX,VSTM4,0.7767656268414039
SHOX,TRIM58,0.776181865011341
SHOX,ZNF471,0.7761736897112895
SHOX,CTSS,0.776146236109844
SCD5,XKR9,0.7761350408101677
SP100,UGT8,0.7758657921272109
SHOX,CCDC125,0.7758419032648151
SHOX,IBA57,0.775557655552622
CRX,TNFRSF9,0.7754795032587101
SHOX,ZNF835,0.7752223328360958
SHOX,MYLK3,0.7746321465295178
SP100,XKR9,0.7743212244361032
SCD5,C20orf203,0.7740902618295301
IRF1,C21orf62,0.7740542889138539
SHOX,C20orf203,0.7740483849914741
SHOX,ZNF713,0.7736985110229282
SHOX,TMEM212,0.7736797817708349
POU5F1,CDH1,0.7735101712028075
SHOX,C12orf77,0.7733056046767295
GATA6,LHX1,0.7730590788044446
CRX,NLRP12,0.7729289562070137
SP100,OPHN1,0.7727766593202433
CRX,MR1,0.772406339766914
SHOX,GBP6,0.7721646365170866
SP100,C20orf203,0.7718857494082446
SCD5,UGT8,0.7715063565502095
SHOX,PBOV1,0.7714868774215493
SHOX,XAF1,0.7712906870630175
IRF1,CABP4,0.7712251545060576
SHOX,SPINLW1,0.7712200873708434
POU2AF1,CYP26A1,0.7709798461134231
SP100,OR11A1,0.7707901740039977
CRX,SLC7A14,0.7699734213200305
SHOX,C2orf91,0.7696117555733407
SCD5,OR7D2,0.7695731054289282
IRF1,SIGLEC10,0.7693599449938282
SHOX,ZNF662,0.7692571833353635
SHOX,GSDMA,0.7686428502388043
SP100,SPN,0.768626586723437
SHOX,HSD3B7,0.7685284246347636
POU5F1,SFRP2,0.768122630598749
CRX,IL6R,0.766862284893441
SHOX,PROM2,0.7668040609415588
CRX,ATCAY,0.7667916083594268
SHOX,PECAM1,0.7661709476106955
CRX,ZC3H12D,0.7659843723965256
SHOX,SNX22,0.7658182629428522
SP100,OR7D2,0.7655393932234407
SHOX,POTEM,0.7651201965616791
SHOX,F2RL3,0.7646019791820318
SP100,ABCC9,0.7641692699472313
SP100,PDE6A,0.7641413942915838
SHOX,CAMK1D,0.7640647735443521
SHOX,OPA3,0.7640063075936734
IRF1,PDDC1,0.7638752264817484
SHOX,PTAFR,0.7636743109638398
SHOX,ADRA1A,0.7634652308384235
SHOX,LOC100130451,0.7634196645208516
SHOX,LURAP1,0.7632847125658065
SHOX2,HAPLN1,0.76266601596439
CRX,SLC24A4,0.7622097187614844
SHOX,TIGD1,0.762162507147192
IRF1,CPM,0.7620202536654589
IRF1,MR1,0.7619833479281998
IRF1,CCL5,0.761558429820307
SHOX,ZNF527,0.7615254872354036
SHOX,FGF5,0.7614831284402379
CRX,LOC646851,0.7612942496954915
CRX,ANKS4B,0.7612470335366667
SHOX,SIGLEC8,0.7612395947886854
IRF1,CD84,0.7608779432816881
SHOX,BCL2L15,0.7608339536524504
SCD5,XRCC2,0.7608084364661487
NFKBIA,SERHL2,0.760788736995956
SHOX,CDH23,0.760680213436855
SHOX,MS4A10,0.7606652684274788
SHOX,CCBP2,0.7606465408360065
SHOX,ALPK1,0.7604476097957766
IRF1,PDE6A,0.7604274570086028
SHOX,BMP8A,0.7603375993602781
NFKBIA,ERBB4,0.7599134447124571
SP100,LHFPL5,0.7599049923583217
CRX,KCNA7,0.759785391884706
SHOX,SCN3B,0.7597801668672056
NFKBIA,APOL6,0.7594700315479835
SPIB,SPN,0.7593289777488387
SP100,SHOX,0.7587696044074294
SHOX,SP100,0.7587696044074292
IRF1,IL12RB1,0.7586842344540311
SHOX,C9orf64,0.7585008502165029
SHOX2,LHX1,0.7583804501547695
SHOX,XKR5,0.7580580860592395
SCD5,ACBD7,0.7578851893131939
SHOX,ODF2L,0.757757893544308
SHOX,GPR155,0.7577019854855559
IRF1,TNFRSF9,0.7575070422173487
SHOX,RINL,0.757281325070739
CRX,SLC14A2,0.7572627846519979
POU2AF1,CFLAR,0.7570546653911119
SHOX,SCN11A,0.7568475565210924
IRF1,CYP1A2,0.7568204096100123
CRX,GP6,0.756634244544303
SHOX,ACBD7,0.756421719607522
CRX,CYP4V2,0.7559940672637495
IRF1,ZC3H12D,0.7559228367826191
IRF1,C8orf80,0.7552219320704429
SHOX,FBXO27,0.7543459228276326
SHOX,ADIPOQ,0.7540039480441278
SPIB,ARGFX,0.7538625080826301
CRX,PDE4C,0.7537664326454171
SHOX,FFAR2,0.7536871988980173
IRF1,TMEM236,0.753325881187944
CRX,KIAA1324,0.7533208954371052
SHOX2,COL5A2,0.7531748592767004
CRX,CACNG8,0.7528876265338079
POU2AF1,FREM1,0.7527064184930015
SHOX,NRSN1,0.7526127698189313
SP100,ARGFX,0.7524800447327178
IRF1,MLANA,0.7522070229118639
SHOX,BEND2,0.7521590099044491
SHOX,ZNF865,0.7521364060111974
CRX,PXMP4,0.7518220519047549
CRX,PAPL,0.7517602419228837
SHOX,AP1S3,0.751611586932756
SHOX,TNFSF15,0.7515866672535386
SHOX,CCBE1,0.7514743967834914
SHOX,TNFAIP8L3,0.7514216036845641
SP100,ZNF829,0.7511918250794499
SHOX,LHFPL5,0.7511721941394581
IRF1,PDE4C,0.7510019226275672
ZBTB16,AGBL1,0.7506561255001862
SP100,ANKS4B,0.7504868274798386
CRX,DAND5,0.7501395507233449
SP100,ZNF441,0.7501380359649832
SHOX,TNFAIP8L1,0.7494557627202064
SCD5,OR11A1,0.749031704337579
SP100,LILRA6,0.7484026502627201
SHOX,CASP14,0.7483034448262337
SHOX,CPA4,0.7481384805665668
CRX,KIAA1751,0.7481298464075435
SHOX,DUXA,0.7480811648855479
SHOX,ERN2,0.7479722310055289
SHOX,LAIR1,0.7478707401461622
SHOX,GRM6,0.7477482971401034
SHOX,RBM43,0.7476831516526686
POU2AF1,LHX1,0.7473736907877876
SHOX,SPIB,0.7471686078045946
SPIB,SHOX,0.7471686078045945
SHOX2,ERBB4,0.7467355079453546
SHOX,CCL16,0.7465754283796404
SHOX,GP2,0.7464108355736918
IRF1,ATCAY,0.746319244944361
SHOX,NMNAT1,0.7463042705346103
CRX,CCL22,0.7462300687328633
IRF1,FUT6,0.7461273841181867
SP100,SIGLEC10,0.7461032806000472
SHOX,ZNF829,0.7460232939701856
SHOX,KCNJ5,0.745613479567181
IRF1,SLC7A14,0.7450722129498908
NFKBIA,GYPB,0.744422328362443
CRX,LYZ,0.7437165824035913
SHOX,WNT7B,0.7432825500812895
CRX,ZNF716,0.7431436601559449
POU2AF1,APOBEC3G,0.7430722690950282
SHOX,KCNE4,0.7428213946429403
IRF1,KCNA7,0.7427384560820475
SHOX,C14orf178,0.7425751935170614
SP100,TET2,0.7425574461587702
SCD5,ZNF441,0.7425304513138574
SPIB,IL12RB1,0.7424922238835661
SHOX,EPHA10,0.7422899194287534
SCD5,ZNF829,0.7421377797476343
SP100,IL12RB1,0.7420977373236458
SHOX,TMEM184A,0.7420263128698655
IRF1,SLC24A4,0.7420052828266033
SKIL,PPP1CB,0.74168292187941
SPIB,TLCD2,0.741483010839027
SHOX,HTRA4,0.7413499197197639
SHOX,HPSE,0.7413280066616035
KLF8,APOL6,0.740425933644198
IRF1,LYZ,0.7398411751605584
SHOX,IAPP,0.7397699991414172
POU5F1,NANOG,0.7397691055876559
NANOG,POU5F1,0.7397691055876557
SHOX,PLEKHH2,0.7397683588199022
SHOX,PLXDC1,0.7396883550268395
IRF1,LOC646851,0.7396427085729654
CRX,CLEC7A,0.7392288557105322
SPIB,C21orf62,0.7392284982892872
SP100,TMEM236,0.7386074800377714
IRF1,KIAA1324,0.7385660041660089
SHOX,DNAJC22,0.7382162426181835
CRX,FUT6,0.7381281320255014
IRF1,ZYG11A,0.7381182687989242
CRX,GGT6,0.7379473352866133
SHOX,ZNF667,0.7377925805063026
CRX,ORAI2,0.737649714549897
SHOX,SEC14L4,0.737551954080685
SHOX,LRTOMT,0.7372728381384429
SHOX,HAVCR2,0.7372717588478509
IRF1,DAND5,0.7370627569178442
CRX,ZNF793,0.7370154847161299
CRX,ZNF785,0.7369870160556043
SPIB,PDDC1,0.7369414984223593
SPIB,CCDC142,0.7369157694960534
SPIB,CYP1A2,0.7367395477176232
IRF1,GP6,0.736346140757371
SHOX,NXNL2,0.7363442462020545
SHOX,GLIPR1L2,0.7363213488427676
SPIB,CABP4,0.7358750368295358
NFKBIA,CCDC81,0.735815868741141
SHOX,AIM1,0.7356981155968217
SP100,ERCC-00046,0.7356807655291105
SHOX,SLC1A2,0.7356135624364689
SPIB,CCL5,0.7355588658227148
SCD5,KIAA1456,0.7353996874370576
CRX,ZYG11A,0.7350811076693764
CRX,CCBE1,0.7350526274272996
CRX,TRIM58,0.7348785080599037
SCD5,SPN,0.7346283970880627
IRF1,CACNG8,0.7346124610643127
SP100,RAX2,0.7345050988160352
SPIB,SIGLEC10,0.7343275218960513
SHOX2,CER1,0.7343001138907411
SP100,SLC14A2,0.7339424805253729
CRX,FFAR2,0.733866683174424
CRX,RAB42,0.7336590566014062
CRX,MLANA,0.7336393275489471
IRF1,NLRP12,0.7334161939890974
SHOX,CFLAR,0.7331195914605401
SPIB,NLRP12,0.7328153163343348
SHOX,CHST6,0.732563103862334
IRF1,FUT2,0.7324293178839536
POU2AF1,ANGPT2,0.7323329598136483
SP100,TLCD2,0.7321996196515272
IRF1,PXMP4,0.7320632883065018
POU5F1,VIM,0.7319282248125839
IRF1,C1orf130,0.7313306337665217
SHOX,ZKSCAN3,0.7313110285708319
SHOX,BNIPL,0.7312921086373091
IRF1,CLEC7A,0.731278546435808
SPIB,CD84,0.73119880256503
SP100,KIAA1456,0.7311929904390148
SCD5,LILRA6,0.7308880911128423
SHOX,GBP4,0.7308177336346208
POU2AF1,APOBEC3F,0.730708761294919
NFKBIA,MYCT1,0.730697783211687
SHOX,FAM123C,0.7304687956429708
CRX,GPR82,0.7301750583353624
IRF1,ANKS4B,0.7300514849004976
SPIB,C8orf80,0.7299335277502592
SHOX,CHRM3,0.7297838318908995
IRF1,GPR82,0.7297402899066655
NFKBIA,ST8SIA4,0.7296999610585431
SHOX,INMT,0.7293154762490042
CRX,CXorf36,0.7291328354917175
CRX,PRRG4,0.7288902150668894
NFKBIA,APOBEC3G,0.7288334024155603
SHOX,LRRN4CL,0.7287430745244312
SHOX,TBXA2R,0.7285314708853129
SHOX2,PKM2,0.7283146076455189
CRX,TNFAIP8L3,0.7279857397705066
SHOX,SLC4A1,0.7279825651979398
SHOX,GTPBP5,0.7278793680528033
CRX,MEFV,0.7275791680557424
SP100,CXorf36,0.7275528747217835
SCD5,LHFPL5,0.7274673732408282
SHOX,TLR10,0.7274115315809058
SPIB,PAPL,0.7273951596806103
SHOX,LILRA5,0.72688505250418
SHOX,ICAM4,0.7268503190030291
SP100,CABP4,0.7267065643049829
SHOX,SAA2,0.7261536370294465
IRF1,PAPL,0.7261257804694334
CRX,LOC100506688,0.7259956338423323
CRX,POLH,0.7257650540002922
SCD5,TET2,0.7255695567646075
SHOX,ABCA9,0.7252155436003697
SP100,C8orf80,0.7251822731071282
POU5F1,CLDN7,0.7248187998734249
SPIB,ZC3H12D,0.7246581102342294
CRX,VSIG1,0.7246281179127149
NFKBIA,CYP26A1,0.7245561862499404
SCD5,PDE6A,0.7243333268041535
SHOX,MAGEA10,0.7242746148927888
SHOX,APOL1,0.7240998408867163
SHOX2,CYP26A1,0.724084021632351
CRX,PBOV1,0.72367617753339
SHOX,CD209,0.7234562034660154
SHOX,COX6B2,0.7233376789434007
SP100,GPR82,0.7231100334079551
SHOX,IRAK4,0.7231019071297925
SHOX,C3orf72,0.7230176681938045
POU2AF1,ERBB4,0.7228938747678928
POU2AF1,KLHL6,0.7224820497781973
CRX,CDH23,0.7223468747930502
SOX11,HNRNPH1,0.7223167164321478
SHOX2,APOBEC3G,0.7221244191047853
IRF1,ZNF716,0.7220207247703353
CRX,KREMEN1,0.7219448584137735
IRF1,CCL22,0.7212315837086329
CRX,BHMT2,0.721159037569731
SHOX,SLC5A5,0.7211552095567854
SCD5,CCDC148,0.7211003079719442
POU2AF1,APOBEC3D,0.7208461618121532
SOX2,ESRP1,0.720824888617808
SCD5,SHOX,0.7208186124728607
SHOX,SCD5,0.7208186124728607
SHOX,OR51E2,0.7208021351832541
IRF1,IL6R,0.7204396725669124
SPIB,SLC7A14,0.7203622835560387
SP100,LRRC27,0.7202416632956307
SHOX,KCNK3,0.7202179215346982
IRF1,BHMT2,0.7199261013634607
SHOX,ZFAT,0.719909508910605
CRX,IRF1,0.7198177330630369
IRF1,CRX,0.7198177330630369
SPIB,PDE6A,0.7197437633437752
NFKBIA,CER1,0.7195764654860196
SHOX,PGPEP1,0.7193426671111213
IRF1,CYP4V2,0.7193122759681116
SHOX,EXPH5,0.7190225072972443
SP100,TNFRSF9,0.7187467867375341
SPIB,TMEM236,0.71868531044481
KLF8,POU2AF1,0.7185816064381104
POU2AF1,KLF8,0.7185816064381103
SHOX,CHP2,0.7184895262595119
SCD5,SLC14A2,0.7184104660370941
NFKBIA,GRPR,0.71829321203237
CRX,NWD1,0.7181262771191042
SHOX,L2HGDH,0.718057231753887
SHOX,IL28RA,0.7179959507461371
POU2AF1,ST8SIA4,0.7179130570863229
CRX,KBTBD12,0.7178953805324872
POU2AF1,CHL1,0.7177732664418917
SOX2,GRHL2,0.7176547521209655
POU2AF1,COL5A2,0.7175735101781807
SHOX,EREG,0.7175641903687143
SCD5,SIGLEC10,0.7174867882038308
NANOG,ESRP1,0.7174350943984384
SHOX,C3orf62,0.7174297964823885
SHOX,KIAA1456,0.7172888569097078
KLF8,CER1,0.7170915834578067
SHOX,FBXL18,0.7170623818068171
POU2AF1,PKM2,0.7170561652635976
POU2AF1,ABCC9,0.71693741397442
SPIB,C1orf130,0.7168485943924112
SHOX,GFOD2,0.7168378264092045
SHOX,SEC14L5,0.7167981320355676
SP100,NLRP12,0.7166311251183496
SHOX,LGSN,0.7165951111080624
CRX,ZNF835,0.7164886087310854
PGR,APOL6,0.71644928643812
SCD5,ARGFX,0.7162589274287599
SHOX,ATP6V0D2,0.7161254459635762
SHOX,CCR6,0.7159789004267432
SHOX2,CHL1,0.7159778926170591
NFKBIA,GYPE,0.7158846497610275
CRX,PROM2,0.7157055167462449
SHOX,CEACAM8,0.7156860836873336
SP100,CCDC148,0.7154273723676076
SHOX,ITIH5,0.7151345668980887
SHOX,ZC3H12B,0.7150855399997398
CRX,SLC25A34,0.7150809640124794
CRX,CTSS,0.7150100404520101
CRX,FAM115C,0.7148155829384173
POU2AF1,GYPE,0.7146910901571373
NFKBIA,ARL4D,0.7145920620194198
SHOX,AP4S1,0.7145608542735487
SHOX,PALM2,0.7145257688419101
GATA6,CYP26A1,0.7145186137829068
CRX,SLC5A5,0.7144176323485103
SPIB,TNFRSF9,0.7144159965241013
SHOX,CRTAM,0.7143534631609547
SPIB,ATCAY,0.7141003684168576
IRF1,SLC14A2,0.713893805774062
CRX,NOS1,0.7138303443975165
SP100,CACNG8,0.7137413610080026
SHOX2,KLHL6,0.7135940089938788
SPIB,CPM,0.7135073930246626
CRX,EXOC3L2,0.7134452666919797
SHOX,DDX51,0.7134310962250929
PPARA,SHOX,0.7133562860721634
SHOX,PPARA,0.7133562860721634
CRX,GSDMA,0.7132160937947263
SPIB,SLC24A4,0.7131535727095611
SP100,ERCC-00004,0.7131466513910893
SP100,PXMP4,0.713137675980783
SKIL,TSPYL1,0.7130269986031417
IRF1,KIAA1751,0.712973515729774
SHOX,AFF3,0.7125030278423562
IRF1,VSTM4,0.7123974667183072
SHOX,PPIL6,0.7122135266560208
SHOX,C2orf83,0.7120668334101221
PPARA,ARGFX,0.7120337536218025
POU5F1,ERBB4,0.7119486079672495
SHOX,AGMAT,0.7118390317581853
SHOX,LILRA6,0.7117937740360123
CRX,OR7D2,0.7117299125145549
CRX,ZNF662,0.711653450604347
SHOX,HSD17B13,0.7116409468528979
IRF1,ZNF527,0.7115825678019364
GATA6,CER1,0.7114908420194571
IRF1,CDH23,0.7114655218112073
CRX,PTAFR,0.7114022060086785
NPM1,COL5A2,0.7113646317679082
SP100,CYP1A2,0.7110113958341828
SHOX,ZNF528,0.7106530977070492
CRX,ADRA1A,0.710309770510552
SHOX,PNMA2,0.710076570757744
SHOX,TMEM53,0.7099966138691688
SHOX,CLEC4E,0.7098954348109322
CRX,TMEM213,0.7098763124502963
IRF1,GGT6,0.7097606000490342
POU2AF1,TMEM212,0.7096548511254768
CRX,FCAR,0.7096172214110134
SPIB,ZNF793,0.7095108249424648
SPIB,DAND5,0.7094401811487077
IRF1,RAB42,0.7094386761596511
SHOX,C2CD4A,0.7093938202485188
CRX,OR51E2,0.7093332459338191
SP100,DDHD1,0.70927274465889
NPM1,SERHL2,0.7092648405938949
SHOX,HES2,0.7091493838633456
IRF1,GP2,0.7091019194945938
KLF8,RHOBTB3,0.7090847537474696
SHOX,KLRG1,0.7089395664566179
NPM1,GYPB,0.7089268111658528
SP100,C1orf130,0.7088115589305045
GATA6,LZTS1,0.7087880934732858
SOX11,EIF2S3,0.7087863973632604
NFKBIA,CNTNAP2,0.7087095763208947
CRX,TIGD1,0.7087068771193071
SHOX,SV2B,0.7086311191318165
CRX,IAPP,0.7086063601157213
POU5F1,GNG11,0.7083405678072349
IRF1,ZNF793,0.7083399198664453
SHOX,H6PD,0.708331988654881
SHOX,PAPLN,0.7082722772577574
CRX,FUT2,0.7079115795677119
IRF1,VSIG1,0.7077125000380403
SHOX,RASGRP4,0.7076419113880088
ASCL1,CMA1,0.7075736724762348
CBFA2T3,TDRD12,0.7075736724762348
GFI1B,C10orf120,0.7075736724762348
GFI1B,C7orf45,0.7075736724762348
GFI1B,CPA3,0.7075736724762348
GFI1B,HABP2,0.7075736724762348
GFI1B,IL1RAPL2,0.7075736724762348
GFI1B,ITLN1,0.7075736724762348
GFI1B,MYPN,0.7075736724762348
GFI1B,OR11H2,0.7075736724762348
GFI1B,PRAMEF11,0.7075736724762348
GFI1B,PRAMEF4,0.7075736724762348
GFI1B,PRAMEF6,0.7075736724762348
GFI1B,SULT1C3,0.7075736724762348
HOXC10,RASGRF1,0.7075736724762348
HOXC13,IRX6,0.7075736724762348
HR,HEPN1,0.7075736724762348
HR,KRTAP5-10,0.7075736724762348
HR,PIP,0.7075736724762348
HR,RNF151,0.7075736724762348
IRF5,CATSPERD,0.7075736724762348
IRF5,FOXR1,0.7075736724762348
IRF5,KRTAP17-1,0.7075736724762348
NEUROD1,LAMB3,0.7075736724762348
NR0B2,AGRP,0.7075736724762348
NR0B2,TBL1Y,0.7075736724762348
PAX1,SPINK13,0.7075736724762348
PITX3,VWA5B1,0.7075736724762348
RORC,FLJ42280,0.7075736724762348
RORC,SDR9C7,0.7075736724762348
ZIC1,PLA2G2C,0.7075736724762348
ZIC1,SMR3B,0.7075736724762348
SHOX,ASTN2,0.707529784637134
SHOX,ZNF554,0.7075242477934606
SHOX,PIWIL2,0.7074133018747041
NFKBIA,PKM2,0.7072603147175174
SCD5,DDHD1,0.7072409331883788
CRX,CLEC19A,0.7071824429332888
IRF1,MEFV,0.7069585769253524
SHOX,GALNT6,0.706955984768509
SHOX,ATP1B4,0.7069494343629048
SPIB,GP6,0.7069140459856331
SPIB,PXMP4,0.7067113947358429
IRF1,GSDMA,0.706396418590452
SHOX,ZNF490,0.7063916633862142
IFI16,HAPLN1,0.7063464177892014
SHOX,OLFML2A,0.7063439507438062
SP100,ZNF37A,0.7062993851269247
SP100,C15orf2,0.7061817846961398
CRX,TRIM66,0.706166497272889
PRDM1,RHOBTB3,0.7061440774467671
CRX,VSTM4,0.7060769385896855
SHOX,EFCAB5,0.705982067747728
SHOX,KIAA1377,0.7058926864284375
ASCL1,GLTPD2,0.7057042572253068
ASCL1,LRFN2,0.7057042572253068
GFI1B,BPIFB6,0.7057042572253068
HOXC13,GAGE2E,0.7057042572253068
HOXC13,GAGE8,0.7057042572253068
HOXC13,SBSN,0.7057042572253068
POU4F2,CLNK,0.7057042572253068
ZIC1,OR2AT4,0.7057042572253068
HR,CXorf30,0.7057042572253067
HR,IFNA1,0.7057042572253067
